Date,Influent Ammonia (mg/L),Influent Nitrate (mg/L),Influent Organic Nitrogen (mg/L),Total Phosphorus (mg/L),Influent Flow (Million Gallons),Effluent Ammonia (mg/L),Effluent Nitrate (mg/L),Effluent Organic Nitrogen (mg/L) ,Effluent Total Phosphorus (mg/L),Effluent Flow (MGD),Effluent Flow (m3/day),Nitrate loading (kg/d),TP loading (kg/d)
2/9/90,34.50,,,,,,6.56,,,24.30,91985.50674,603.4249242,0
2/10/90,41.20,,,,,,,,,22.66,85777.43139,0,0
2/11/90,38.70,,,,,,,,,20.22,76541.0266,0,0
2/12/90,31.40,,,9.80,,,,,6.30,23.20,87821.55376,0,553.2757887
2/13/90,37.80,,,,,,,,,22.58,85474.59844,0,0
2/14/90,26.20,,,,,0.44,,,,45.77,173258.2981,0,0
2/15/90,22.90,,,4.60,,2.48,,,3.10,47.76,180791.2676,0,560.4529295
2/16/90,21.80,,,,,2.14,7.93,,,43.34,164059.7474,1300.993797,0
2/17/90,20.70,,,,,0.57,,,,36.98,139984.5284,0,0
2/18/90,25.20,,,,,0.26,,,,33.07,125183.5682,0,0
2/19/90,15.00,,,8.20,,,,,4.50,31.72,120073.2623,0,540.3296803
2/20/90,31.60,,,,,0.61,,,,30.25,114508.707,0,0
2/21/90,30.30,,,,,,,,,33.05,125107.86,0,0
2/22/90,21.40,,,4.60,,0.53,,,2.70,70.33,266228.0119,0,718.8156321
2/23/90,16.70,,,,,1.80,10.20,,,48.03,181813.3288,1854.495953,0
2/24/90,16.60,,,,,0.92,,,,31.58,119543.3046,0,0
2/25/90,17.70,,,,,,,,,29.14,110306.8999,0,0
2/26/90,18.50,,,6.30,,,,,3.60,28.00,105991.5304,0,381.5695094
2/27/90,18.80,,,,,,,,,28.87,109284.8387,0,0
2/28/90,17.90,,,,,0.44,,,,26.07,98685.68563,0,0
3/1/90,21.60,,,8.90,,0.44,,,6.60,27.83,105348.0104,0,695.2968686
3/2/90,19.00,,,,,0.40,12.50,,,27.98,105915.8222,1323.947777,0
3/3/90,19.00,,,,,0.37,,,,26.02,98496.41504,0,0
3/4/90,18.40,,,,,,,,,23.87,90357.77967,0,0
3/5/90,23.40,,,,,0.04,,,,26.10,98799.24798,0,0
3/6/90,28.50,,,,,,,,,25.29,95733.06442,0,0
3/7/90,29.70,,,,,0.18,,,,24.56,92969.71381,0,0
3/8/90,21.40,,,7.30,,0.48,15.60,,4.70,34.65,131164.5189,2046.166494,616.4732387
3/9/90,29.00,,,,,,,,,37.10,140438.7778,0,0
3/10/90,23.50,,,,,0.16,,,,31.33,118596.9517,0,0
3/11/90,22.30,,,,,,,,,30.26,114546.5611,0,0
3/12/90,22.50,,,8.60,,,,,4.60,29.42,111366.8152,0,512.2873497
3/13/90,23.90,,,,,,,,,27.69,104818.0527,0,0
3/14/90,22.50,,,,,,,,,27.93,105726.5516,0,0
3/15/90,20.10,,,9.70,,,,,5.40,27.00,102206.1186,0,551.9130404
3/16/90,19.70,,,,,,13.60,,,25.63,97020.10443,1319.47342,0
3/17/90,20.20,,,,,,,,,26.98,102130.4104,0,0
3/18/90,16.90,,,,,,,,,25.65,97095.81267,0,0
3/19/90,20.90,,,10.00,,,,,4.10,25.36,95998.04325,0,393.5919773
3/20/90,20.70,,,,,0.48,,,,23.69,89676.40554,0,0
3/21/90,19.90,,,,,,,,,23.49,88919.32318,0,0
3/22/90,17.90,,,6.90,,0.18,,,4.00,28.58,108187.0692,0,432.748277
3/23/90,20.70,,,,,,10.80,,,25.05,94824.56559,1024.105308,0
3/24/90,20.90,,,,,,,,,26.20,99177.78916,0,0
3/25/90,18.80,,,,,,,,,23.01,87102.32552,0,0
3/26/90,22.90,,,,,,,,4.50,20.75,78547.29485,0,353.4628268
3/27/90,24.80,,,,,0.04,,,,19.52,73891.23834,0,0
3/28/90,21.10,,,,,,,,,23.52,89032.88554,0,0
3/29/90,24.70,,,7.40,,,,,3.60,27.90,105612.9892,0,380.2067612
3/30/90,20.60,,,,,0.26,14.20,,,24.70,93499.67146,1327.695335,0
3/31/90,18.30,,,,,0.14,,,,26.23,99291.35151,0,0
4/1/90,16.00,,,,,,,,,34.48,130520.9989,0,0
4/2/90,19.50,,,7.60,,,,,3.10,27.50,104098.8245,0,322.706356
4/3/90,19.90,,,,,0.26,,,,27.32,103417.4504,0,0
4/4/90,16.50,,,,,0.48,,,,26.00,98420.7068,0,0
4/5/90,35.10,,,9.90,,,,,3.70,26.45,100124.1421,0,370.4593258
4/6/90,39.70,,,,,2.42,9.31,,,25.01,94673.14912,881.4070183,0
4/7/90,30.30,,,,,1.10,,,,24.45,92553.31851,0,0
4/8/90,28.00,,,,,,,,,25.36,95998.04325,0,0
4/9/90,24.30,,,9.60,,0.09,,,6.70,25.25,95581.64795,0,640.3970413
4/10/90,13.40,,,,,,,,,40.00,151416.472,0,0
4/11/90,24.90,,,,,0.07,,,,26.35,99745.60093,0,0
4/12/90,24.20,,,,,,,,,25.94,98193.58209,0,0
4/13/90,16.00,,,,,,,,,35.78,135442.0342,0,0
4/14/90,8.96,,,,,0.22,,,,28.90,109398.401,0,0
4/15/90,8.26,,,,,,,,,26.23,99291.35151,0,0
4/16/90,20.60,,,6.90,,,,,5.20,26.50,100313.4127,0,521.629746
4/17/90,33.60,,,,,0.13,,,,22.65,85739.57727,0,0
4/18/90,42.50,,,,,,,,,23.15,87632.28317,0,0
4/19/90,43.40,,,11.00,,,,,6.60,23.22,87897.262,0,580.1219292
4/20/90,22.20,,,,,,,,,32.30,122268.8011,0,0
4/21/90,9.31,,,,,0.09,,,,27.91,105650.8433,0,0
4/22/90,9.38,,,,,,,,,28.91,109436.2551,0,0
4/23/90,9.84,,,7.10,,0.19,,,3.80,29.08,110079.7751,0,418.3031455
4/24/90,10.60,,,,,,,,,28.18,106672.9045,0,0
4/25/90,11.50,,,,,0.11,,,,27.40,103720.2833,0,0
4/26/90,10.40,,,9.10,,,,,5.50,28.90,109398.401,0,601.6912056
4/27/90,8.45,,,,,,1.65,,,29.76,112653.8552,185.878861,0
4/28/90,8.45,,,,,0.35,,,,32.38,122571.6341,0,0
4/29/90,9.17,,,,,,,,,27.27,103228.1798,0,0
4/30/90,9.31,,,10.00,,0.15,,,5.20,28.73,108754.881,0,565.5253813
5/1/90,9.93,,,,,,,,,25.25,95581.64795,0,0
5/2/90,10.90,,,,,0.25,,,,25.10,95013.83618,0,0
5/3/90,9.14,,,7.80,,,,,5.60,38.10,144224.1896,0,807.6554616
5/4/90,18.10,,,,,,4.92,,,40.60,153687.7191,756.1435779,0
5/5/90,32.20,,,,,0.44,,,,29.25,110723.2952,0,0
5/6/90,35.10,,,,,0.53,,,,29.00,109776.9422,0,0
5/7/90,32.00,,,7.10,,0.67,,,,31.41,118899.7846,0,0
5/8/90,34.30,,,,,0.40,,,,28.91,109436.2551,0,0
5/9/90,25.40,,,,,0.04,,,,35.67,135025.6389,0,0
5/10/90,15.50,,,6.90,,0.22,,,4.70,31.78,120300.387,0,565.4118189
5/11/90,16.50,,,,,0.57,,,,26.30,99556.33034,0,0
5/12/90,7.47,,,,,0.59,,,,77.32,292688.0404,0,0
5/13/90,9.33,,,,,0.40,,,,52.80,199869.743,0,0
5/14/90,10.60,,,4.30,,0.53,,,2.50,46.10,174507.484,0,436.26871
5/15/90,6.24,,,,,,,,,59.45,225042.7315,0,0
5/16/90,3.56,,,,,0.44,,,,84.18,318655.9653,0,0
5/17/90,3.20,,,2.00,,0.36,,,1.00,70.50,266871.5319,0,266.8715319
5/18/90,3.88,,,,,0.44,,,,53.62,202973.7807,0,0
5/19/90,5.19,,,,,0.58,,,,56.50,213875.7667,0,0
5/20/90,6.40,,,,,0.62,,,,46.97,177800.7922,0,0
5/21/90,7.15,,,6.00,,0.67,,,3.70,44.18,167239.4933,0,618.7861253
5/22/90,6.34,,,,,0.62,,,,40.63,153801.2814,0,0
5/23/90,6.90,,,,,0.22,,,,38.55,145927.6249,0,0
5/24/90,5.60,,,5.70,,,,,4.30,36.10,136653.366,0,587.6094737
5/25/90,5.38,,,,,,,,,49.00,185485.1782,0,0
5/26/90,6.71,,,,,,,,,38.36,145208.3966,0,0
5/27/90,8.31,,,,,,,,,35.73,135252.7636,0,0
5/28/90,10.90,,,,,,,,,35.41,134041.4318,0,0
5/29/90,11.50,,,,,,,,,34.41,130256.02,0,0
5/30/90,11.00,,,,,,,,,,0,0,0
5/31/90,10.70,,,7.50,,,,,5.00,,0,0,0
6/1/90,10.20,,,,,,,,,33.19,125637.8176,0,0
6/2/90,8.71,,,,,0.20,,,,35.12,132943.6624,0,0
6/3/90,8.67,,,,,,,,,32.77,124047.9447,0,0
6/4/90,9.87,,,6.60,,,,,4.60,30.50,115455.0599,0,531.0932755
6/5/90,10.30,,,,,,,,,32.43,122760.9047,0,0
6/6/90,15.60,,,,,,,,,38.10,144224.1896,0,0
6/7/90,11.10,,,6.20,,,,,5.80,40.56,153536.3026,0,890.5105551
6/8/90,14.00,,,,,,,,,35.43,134117.1401,0,0
6/9/90,10.60,,,,,0.09,,,,33.15,125486.4012,0,0
6/10/90,14.10,,,,,0.06,,,,30.55,115644.3305,0,0
6/11/90,13.00,,,,,,,,,31.75,120186.8247,0,0
6/12/90,11.90,,,,,,,,,32.20,121890.26,0,0
6/13/90,9.33,,,,,0.27,,,,37.73,142823.5872,0,0
6/14/90,6.05,,,4.80,,,,,4.60,45.48,172160.5287,0,791.9384319
6/15/90,9.51,,,,,0.07,,,,35.00,132489.413,0,0
6/16/90,15.70,,,,,,,,,31.73,120111.1164,0,0
6/17/90,7.82,,,,,,,,,45.88,173674.6934,0,0
6/18/90,10.10,,,7.20,,0.58,,,4.70,45.48,172160.5287,0,809.1544847
6/19/90,15.20,,,,,1.38,,,,41.47,156981.0273,0,0
6/20/90,4.53,,,,,1.87,,,,64.79,245256.8305,0,0
6/21/90,4.40,,,,,0.13,,,,49.83,188627.07,0,0
6/22/90,7.91,,,3.50,,0.13,,,1.90,69.51,263123.9742,0,499.935551
6/23/90,8.00,,,,,0.13,,,,48.13,182191.8699,0,0
6/24/90,6.67,,,,,,,,,41.20,155958.9662,0,0
6/25/90,11.90,,,4.30,,,,,3.30,43.10,163151.2486,0,538.3991203
6/26/90,18.40,,,,,,,,,36.92,139757.4037,0,0
6/27/90,11.20,,,,,,,,,35.04,132640.8295,0,0
6/28/90,16.80,,,6.10,,,,,3.20,33.59,127151.9824,0,406.8863436
6/29/90,6.62,,,,,,,,,49.37,186885.7806,0,0
6/30/90,6.13,,,,,,,,,44.00,166558.1192,0,0
7/1/90,6.40,,,,,,,,,39.90,151037.9308,0,0
7/2/90,6.93,,,5.80,,0.11,,,4.20,39.62,149978.0155,0,629.9076652
7/3/90,18.20,,,,,,,,,37.10,140438.7778,0,0
7/4/90,25.10,,,,,0.09,,,,34.85,131921.6012,0,0
7/5/90,25.30,,,8.70,,,,,4.30,34.44,130369.5824,0,560.5892043
7/6/90,41.70,,,,,0.27,,,,34.44,130369.5824,0,0
7/7/90,21.10,,,,,,,,,32.31,122306.6553,0,0
7/8/90,13.00,,,,,,,,,30.74,116363.5587,0,0
7/9/90,33.10,,,9.70,,0.09,,,5.30,31.00,117347.7658,0,621.9431587
7/10/90,37.50,,,,,0.19,,,,36.70,138924.6131,0,0
7/11/90,23.90,,,,,0.71,,,,37.30,141195.8601,0,0
7/12/90,41.40,,,9.40,,,,,4.50,30.17,114205.874,0,513.926433
7/13/90,39.20,,,,,0.40,,,,30.10,113940.8952,0,0
7/14/90,24.70,,,,,,,,,29.40,111291.1069,0,0
7/15/90,16.20,,,,,,,,,33.29,126016.3588,0,0
7/16/90,22.30,,,6.20,,0.18,,,4.70,30.68,116136.434,0,545.8412399
7/17/90,19.70,,,,,,,,,28.67,108527.7563,0,0
7/18/90,20.90,,,,,,,,,30.24,114470.8528,0,0
7/19/90,14.00,,,7.90,,0.22,,,6.00,31.36,118710.514,0,712.2630843
7/20/90,15.30,,,,,,,,,31.54,119391.8882,0,0
7/21/90,9.07,,,,,0.09,,,,44.15,167125.931,0,0
7/22/90,5.25,,,,,,,,,46.63,176513.7522,0,0
7/23/90,5.96,,,7.20,,,,,4.30,38.10,144224.1896,0,620.1640152
7/24/90,9.60,,,,,,,,,35.62,134836.3683,0,0
7/25/90,9.39,,,,,,,,,32.18,121814.5517,0,0
7/26/90,9.67,,,6.10,,,,,4.00,31.15,117915.5776,0,471.6623103
7/27/90,10.20,,,,,,,,,34.58,130899.54,0,0
7/28/90,9.91,,,,,,,,,32.97,124805.027,0,0
7/29/90,9.73,,,,,0.18,,,,33.69,127530.5235,0,0
7/30/90,10.10,,,6.30,,0.58,,,5.10,32.52,123101.5917,0,627.8181179
7/31/90,10.80,,,,,0.49,,,,30.73,116325.7046,0,0
8/1/90,10.50,,,,,1.07,,,,18.79,71127.88772,0,0
8/2/90,11.50,,,8.80,,1.07,,,6.50,20.31,76881.71366,0,499.7311388
8/3/90,10.40,,,,,0.53,,,,26.20,99177.78916,0,0
8/4/90,10.50,,,,,0.64,,,,20.62,78055.19132,0,0
8/5/90,11.00,,,,,,,,,21.85,82711.24783,0,0
8/6/90,11.10,,,13.00,,0.46,,,6.40,24.34,92136.92321,0,589.6763086
8/7/90,11.60,,,,,0.62,4.80,,,38.70,146495.4367,703.178096,0
8/8/90,10.20,,,,,0.62,3.60,,,45.96,173977.5263,626.3190948,0
8/9/90,8.93,,,8.40,,0.84,4.70,,6.90,68.58,259603.5412,1220.136644,1791.264435
8/10/90,9.16,,,,,0.71,4.00,,,53.88,203957.9878,815.8319511,0
8/11/90,8.89,,,,,0.36,,,,39.50,149523.7661,0,0
8/12/90,6.53,,,,,0.16,,,,31.10,117726.307,0,0
8/13/90,8.27,,,13.00,,0.20,3.50,,4.70,28.40,107505.6951,376.2699329,505.2767671
8/14/90,9.47,,,,,0.13,6.20,,,26.51,100351.2668,622.1778543,0
8/15/90,8.71,,,,,0.25,6.50,,,27.71,104893.761,681.8094464,0
8/16/90,8.62,,,9.50,,,5.30,,5.60,27.66,104704.4904,554.9337991,586.3451462
8/17/90,9.06,,,,,0.53,5.60,,,29.31,110950.4199,621.3223512,0
8/18/90,8.93,,,,,,,,,26.80,101449.0362,0,0
8/19/90,8.36,,,,,,,,,24.58,93045.42204,0,0
8/20/90,8.93,,,6.40,,0.13,11.00,,5.20,24.28,91909.7985,1011.007784,477.9309522
8/21/90,8.40,,,,,0.11,3.70,,,23.24,87972.97023,325.4999899,0
8/22/90,2.14,,,,,0.08,7.50,,,25.68,97209.37502,729.0703127,0
8/23/90,7.68,,,11.00,,,7.90,,5.00,23.10,87443.01258,690.7997994,437.2150629
8/24/90,9.19,,,,,,6.90,,,23.89,90433.4879,623.9910665,0
8/25/90,8.59,,,,,,,,,25.89,98004.3115,0,0
8/26/90,9.08,,,,,,,,,23.28,88124.3867,0,0
8/27/90,8.84,,,7.90,,,4.80,,6.20,22.71,85966.70198,412.6401695,532.9935523
8/28/90,8.66,,,,,0.25,5.20,,,22.10,83657.60078,435.0195241,0
8/29/90,6.41,,,,,0.09,5.00,,,21.94,83051.93489,415.2596745,0
8/30/90,8.51,,,8.20,,0.13,3.30,,3.30,22.34,84566.09961,279.0681287,279.0681287
8/31/90,8.27,,,,,,4.30,,,21.22,80326.4384,345.4036851,0
9/1/90,8.62,,,,,0.09,,,,22.85,86496.65963,0,0
9/2/90,10.30,,,,,,,,,21.30,80629.27134,0,0
9/3/90,13.10,,,11.00,,0.18,,,7.20,21.24,80402.14663,0,578.8954558
9/4/90,8.62,,,,,0.13,5.70,,,22.99,87026.61728,496.0517185,0
9/5/90,9.99,,,,,0.22,8.70,,,23.41,88616.49024,770.9634651,0
9/6/90,11.40,,,11.00,,0.11,9.10,,6.00,22.94,86837.34669,790.2198549,521.0240802
9/7/90,11.50,,,,,0.07,9.30,,,20.58,77903.77484,724.505106,0
9/8/90,11.50,,,,,0.09,,,,17.75,67191.05945,0,0
9/9/90,11.70,,,,,0.26,,,,20.10,76086.77718,0,0
9/10/90,11.00,,,8.70,,0.19,12.00,,7.30,18.98,71847.11596,862.1653916,524.4839465
9/11/90,8.84,,,,,0.13,11.00,,,21.12,79947.89722,879.4268694,0
9/12/90,6.21,,,,,0.13,5.70,,,20.38,77146.69248,439.7361472,0
9/13/90,7.35,,,13.00,,0.22,7.40,,6.30,21.33,80742.83369,597.4969693,508.6798523
9/14/90,5.16,,,,,0.05,4.00,,,18.56,70257.24301,281.028972,0
9/15/90,6.21,,,,,,,,,18.19,68856.64064,0,0
9/16/90,5.47,,,,,,,,,18.34,69424.45241,0,0
9/17/90,7.31,,,7.50,,,4.80,,5.50,19.13,72414.92773,347.5916531,398.2821025
9/18/90,5.29,,,,,,4.10,,,28.48,107808.5281,442.0149651,0
9/19/90,8.11,,,,,,3.80,,,21.87,82786.95607,314.5904331,0
9/20/90,8.58,,,8.60,,0.22,4.30,,4.00,19.85,75140.42423,323.1038242,300.5616969
9/21/90,8.18,,,,,0.44,5.10,,,24.23,91720.52791,467.7746924,0
9/22/90,8.05,,,,,0.26,,,,18.13,68629.51593,0,0
9/23/90,7.70,,,,,,,,,19.11,72339.2195,0,0
9/24/90,8.82,,,7.90,,0.18,7.70,,6.00,21.47,81272.79135,625.8004934,487.6367481
9/25/90,10.50,,,,,0.26,6.00,,,16.28,61626.5041,369.7590246,0
9/26/90,8.29,,,,,0.09,7.70,,,21.50,81386.3537,626.6749235,0
9/27/90,6.55,,,8.50,,,9.10,,6.30,20.56,77828.06661,708.2354061,490.3168196
9/28/90,9.14,,,,,,11.00,,,19.00,71922.8242,791.1510662,0
9/29/90,5.56,,,,,0.18,,,,18.19,68856.64064,0,0
9/30/90,6.39,,,,,,,,,17.83,67493.89239,0,0
10/1/90,7.26,,,9.60,,,3.60,,5.90,18.79,71127.88772,256.0603958,419.6545376
10/2/90,8.58,,,,,,3.50,,,20.31,76881.71366,269.0859978,0
10/3/90,5.60,,,,,,4.10,,,26.20,99177.78916,406.6289356,0
10/4/90,5.91,,,11.00,,,2.00,,4.00,20.62,78055.19132,156.1103826,312.2207653
10/5/90,7.26,,,,,,1.80,,,21.85,82711.24783,148.8802461,0
10/6/90,5.62,,,,,0.18,,,,24.34,92136.92321,0,0
10/7/90,3.24,,,,,,,,,38.70,146495.4367,0,0
10/8/90,4.03,,,4.90,,0.18,1.70,,3.30,45.96,173977.5263,295.7617948,574.1258369
10/9/90,1.92,,,,,,1.70,,,68.58,259603.5412,441.3260201,0
10/10/90,1.49,,,,,0.18,2.80,,,53.88,203957.9878,571.0823658,0
10/11/90,3.13,,,6.40,,,4.00,,2.40,39.50,149523.7661,598.0950644,358.8570386
10/12/90,4.77,,,,,0.22,4.10,,,31.10,117726.307,482.6778586,0
10/13/90,4.64,,,,,,,,,28.40,107505.6951,0,0
10/14/90,5.66,,,,,0.11,,,,26.51,100351.2668,0,0
10/15/90,10.30,,,9.10,,,4.20,,5.20,27.71,104893.761,440.5537961,545.4475571
10/16/90,7.08,,,,,,8.40,,,27.66,104704.4904,879.5177193,0
10/17/90,4.99,,,,,,5.80,,,29.31,110950.4199,643.5124352,0
10/18/90,4.86,,,8.00,,,3.60,,4.90,26.80,101449.0362,365.2165305,497.1002776
10/19/90,6.04,,,,,0.18,2.40,,,24.58,93045.42204,223.3090129,0
10/20/90,5.49,,,,,,,,,24.28,91909.7985,0,0
10/21/90,5.60,,,,,,,,,23.24,87972.97023,0,0
10/22/90,6.61,,,11.00,,0.25,6.00,,5.50,25.68,97209.37502,583.2562501,534.6515626
10/23/90,,,,,,0.22,5.90,,,23.10,87443.01258,515.9137742,0
10/24/90,7.27,,,,,0.26,6.10,,,23.89,90433.4879,551.6442762,0
10/25/90,6.64,,,,,,6.00,,,25.89,98004.3115,588.025869,0
10/26/90,7.07,,,,,0.16,,,,23.28,88124.3867,0,0
10/27/90,5.25,,,,,,,,,22.71,85966.70198,0,0
10/28/90,5.67,,,,,0.25,,,,22.10,83657.60078,0,0
10/29/90,6.48,,,11.00,,,4.30,,6.50,21.94,83051.93489,357.12332,539.8375768
10/30/90,6.63,,,,,0.35,7.60,,,22.34,84566.09961,642.7023571,0
10/31/90,6.30,,,,,0.18,7.50,,,21.22,80326.4384,602.448288,0
11/1/90,4.55,,,7.70,,,8.70,,4.00,41.64,157624.5474,1371.333562,630.4981894
11/2/90,6.39,,,,,,8.40,,,41.61,157510.985,1323.092274,0
11/3/90,6.35,,,,,0.26,,,,47.44,179579.9358,0,0
11/4/90,5.08,,,,,0.31,,,,43.61,165081.8086,0,0
11/5/90,4.62,,,7.00,,0.09,9.80,,6.20,45.26,171327.7381,1679.011833,1062.231976
11/6/90,4.93,,,,,,9.10,,,47.28,178974.2699,1628.665856,0
11/7/90,4.81,,,,,0.19,6.70,,,59.28,224399.2115,1503.474717,0
11/8/90,6.39,,,9.10,,,8.50,,5.40,63.71,241168.5858,2049.932979,1302.310363
11/9/90,6.21,,,,,,9.70,,,88.68,335690.3184,3256.196089,0
11/10/90,6.21,,,,,0.19,,,,72.86,275805.1037,0,0
11/11/90,7.48,,,,,,,,,60.62,229471.6633,0,0
11/12/90,8.58,,,9.20,,,,,6.20,51.48,194872.9995,0,1208.212597
11/13/90,9.01,,,,,0.39,14.00,,,49.73,188248.5288,2635.479403,0
11/14/90,9.86,,,,,0.25,13.00,,,45.07,170608.5098,2217.910628,0
11/15/90,8.62,,,9.40,,,16.00,,5.60,45.90,173750.4016,2780.006426,973.0022491
11/16/90,8.05,,,,,0.18,17.00,,,46.00,174128.9428,2960.192028,0
11/17/90,6.89,,,,,0.31,,,,48.44,183365.3476,0,0
11/18/90,5.71,,,,,0.19,,,,55.28,209257.5643,0,0
11/19/90,6.12,,,6.10,,0.19,5.20,,4.60,46.45,175832.3781,914.3283662,808.8289393
11/20/90,6.96,,,,,0.22,4.70,,,44.13,167050.2227,785.1360468,0
11/21/90,6.13,,,,,0.22,4.80,,,47.47,179693.4981,862.5287911,0
11/22/90,5.86,,,7.70,,0.30,,,3.30,43.81,165838.891,0,547.2683402
11/23/90,7.64,,,,,0.24,6.00,,,42.21,159782.2321,958.6933925,0
11/24/90,6.65,,,,,0.09,,,,45.36,171706.2792,0,0
11/25/90,6.39,,,,,0.22,,,,42.17,159630.8156,0,0
11/26/90,5.93,,,9.50,,0.11,10.50,,6.20,44.78,169510.7404,1779.862774,1050.966591
11/27/90,3.54,,,,,0.26,7.60,,,43.27,163794.7686,1244.840241,0
11/28/90,3.06,,,,,0.16,3.40,,,41.10,155580.425,528.9734449,0
11/29/90,3.26,,,5.00,,0.11,,,1.50,40.13,151908.5755,0,227.8628633
11/30/90,4.11,,,,,0.22,,,,40.17,152059.992,0,0
12/1/90,4.92,,,,,,,,,60.43,228752.4351,0,0
12/2/90,4.69,,,,,,,,,61.92,234392.6987,0,0
12/3/90,3.14,,,6.20,,0.37,3.95,,3.60,73.64,278757.725,1101.093014,1003.52781
